交易日期,证券代码,利率,期限
20190409,SHIBOR3M.IR,2.751,3M
20190409,SHIBOR6M.IR,2.824,6M
20190409,SHIBOR9M.IR,2.908,9M
20190409,SHIBORON.IR,1.797,O/N
20190410,SHIBOR1M.IR,2.655,1M
20190410,SHIBOR1W.IR,2.654,1W
20190410,SHIBOR1Y.IR,3.053,1Y
20190410,SHIBOR2W.IR,2.566,2W
20190410,SHIBOR3M.IR,2.755,3M
20190410,SHIBOR6M.IR,2.833,6M
20190410,SHIBOR9M.IR,2.914,9M
20190410,SHIBORON.IR,2.278,O/N
20190411,SHIBOR1M.IR,2.669,1M
20190411,SHIBOR1W.IR,2.657,1W
20190411,SHIBOR1Y.IR,3.06,1Y
20190411,SHIBOR2W.IR,2.779,2W
20190411,SHIBOR3M.IR,2.76,3M
20190411,SHIBOR6M.IR,2.838,6M
20190411,SHIBOR9M.IR,2.923,9M
20190411,SHIBORON.IR,2.735,O/N
20190412,SHIBOR1M.IR,2.686,1M
20190412,SHIBOR1W.IR,2.669,1W
20190412,SHIBOR1Y.IR,3.067,1Y
20190412,SHIBOR2W.IR,2.805,2W
20190412,SHIBOR3M.IR,2.761,3M
20190412,SHIBOR6M.IR,2.842,6M
20190412,SHIBOR9M.IR,2.924,9M
20190412,SHIBORON.IR,2.652,O/N
20190415,SHIBOR1M.IR,2.717,1M
20190415,SHIBOR1W.IR,2.772,1W
20190415,SHIBOR1Y.IR,3.072,1Y
20190415,SHIBOR2W.IR,2.902,2W
20190415,SHIBOR3M.IR,2.768,3M
20190415,SHIBOR6M.IR,2.85,6M
20190415,SHIBOR9M.IR,2.939,9M
20190415,SHIBORON.IR,2.797,O/N
20190416,SHIBOR1M.IR,2.759,1M
20190416,SHIBOR1W.IR,2.787,1W
20190416,SHIBOR1Y.IR,3.077,1Y
20190416,SHIBOR2W.IR,2.982,2W
20190416,SHIBOR3M.IR,2.774,3M
20190416,SHIBOR6M.IR,2.853,6M
20190416,SHIBOR9M.IR,2.947,9M
